日	小河内	八王子	東京	江戸川臨海	羽田	大島	三宅島	八丈島	青梅	練馬	府中	父島	大島北ノ山	八重見ヶ原	三宅坪田	新島	神津島	南鳥島
1	33.4	36.4	35.9	32.7	34.4	31.5	30.4	31.1	36.7	37.0	35.5	31.4	31.6	31.6	32.8	31.9	30.0	31.7
2	34.9	38.5	35.9	33.3	34.1	31.4	30.7	30.6	38.9	38.0	38.4	32.0	31.5	32.1	31.9	31.9	30.0	31.3
3	33.2	37.8	36.1	33.6	34.9	31.9	31.2	30.6	38.5	38.0	37.8	31.3	32.3	32.7	32.8	32.3	30.3	32.2
4	24.8	29.9	29.7	29.3	29.6	29.4	28.6	31.6	28.4	30.0	30.7	30.9	28.1	32.5	30.5	28.6	28.6	32.4
5	25.0	26.9	27.7	26.9	26.2	27.6	26.3	26.8	25.8	26.8	26.6	30.9	27.2	27.6	28.2	27.7	26.8	33.0
6	22.9	28.1	28.8	28.5	28.0	29.0	28.5	30.0	27.9	29.2	28.2	32.1	27.2	30.2	29.4	28.1	27.8	33.7
7	28.3	32.4	33.0	33.1	31.3	31.2	30.8	31.1	31.9	31.7	32.6	31.3	30.7	31.3	31.2	30.8	29.5	32.2
8	32.8	35.9	33.9	30.7	32.8	30.8	30.9	30.2	35.7	34.9	33.8	30.6	30.8	31.1	31.3	31.4	29.2	30.6
9	35.5	38.2	35.7	31.1	33.6	31.5	31.3	30.6	38.2	36.3	35.3	31.6	31.9	31.0	32.5	32.5	30.1	31.8
10	35.0	35.9	35.3	30.7	33.0	31.4	31.7	32.8	36.6	35.6	34.6	29.8	31.8	32.8	32.0	32.3	29.6	31.4
11	34.5	34.3	34.3	30.7	32.3	30.3	30.9	30.8	34.6	34.3	32.9	30.6	30.7	31.2	31.7	31.4	29.8	32.2
12	30.4	31.8	32.0	30.7	32.2	31.0	31.0	31.2	33.2	32.8	31.4	31.4	31.5	30.9	31.5	31.7	29.6	30.2
13	24.0	26.1	28.6	30.0	30.5	27.9	29.0	30.0	25.5	28.4	27.5	31.4	29.2	29.9	30.6	28.9	27.7	29.9
14	30.3	32.6	33.3	31.4	34.0	28.7	29.0	29.2	33.5	33.8	33.5	32.2	29.2	30.5	29.1	30.5	29.1	31.4
15	30.5	33.7	34.0	32.1	32.4	29.7	30.3	29.7	33.1	33.4	33.3	31.5	30.0	31.1	31.4	31.3	29.4	31.8
16	33.3	34.6	36.4	34.1	34.7	29.1	30.4	29.8	34.8	36.8	34.9	30.7	30.7	31.2	30.6	30.5	29.3	31.6
17	27.2	30.7	32.3	32.7	31.6	30.3	30.2	30.5	30.0	31.7	31.5	30.7	30.4	32.0	30.8	31.6	29.9	32.7
18	29.8	29.9	31.1	31.3	31.6	27.7	29.3	28.3	29.1	29.8	30.3	32.0	27.7	29.2	30.0	29.5	28.2	31.9
19	29.5	32.0	32.5	32.0	32.2	30.7	29.3	30.2	32.5	33.2	32.1	31.7	30.1	31.9	30.6	30.7	28.3	29.4
20	25.8	29.7	31.2	30.7	30.3	30.2	30.7	30.4	28.6	30.6	30.5	31.6	30.6	31.9	32.1	31.8	30.6	30.8
21	26.8	29.0	29.0	28.8	28.7	29.5	30.1	31.2	29.9	28.4	28.2	31.5	28.1	31.7	31.8	29.2	28.2	30.6
22	28.4	30.1	29.5	29.3	28.6	28.2	28.2	32.0	30.1	29.8	29.9	32.2	26.9	32.3	29.4	26.9	26.8	29.7
23	31.8	33.2	33.5	31.2	32.5	32.0	32.0	31.9	34.2	34.2	33.0	32.7	32.0	31.4	31.7	31.9	29.7	30.1
24	30.7	33.2	32.7	32.5	31.8	32.1	31.6	32.9	33.3	32.6	33.5	32.0	32.0	31.8	32.7	32.2	30.5	28.8
25	25.0	28.5	29.3	28.1	27.7	30.1	28.0	32.4	29.2	28.3	28.3	31.9	27.9	32.1	28.4	28.3	29.2	30.4
26	28.5	31.0	31.3	30.4	30.9	30.9	31.5	31.2	30.0	30.6	30.9	32.5	31.3	32.0	32.3	31.9	30.0	30.7
27	30.5	33.7	33.9	31.7	32.4	31.3	30.8	31.1	33.8	34.4	33.2	32.8	31.8	31.2	32.1	31.6	30.7	29.2
28	23.9	26.8	28.1	27.4	28.9	27.7	27.9	29.1	25.8	27.1	26.9	32.7	28.1	29.9	28.6	28.6	27.9	31.0
29	23.5	25.7	28.0	26.9	26.3	23.6	24.8	28.9	26.4	27.1	26.5	31.7	24.3	29.6	25.0	25.3	24.5	30.6
30	24.3	24.6	26.2	25.1	24.7	30.4	27.0	31.7	24.2	26.3	26.2	30.9	26.1	32.1	28.5	25.8	26.1	30.9
31	30.7	32.8	32.5	30.3	31.7	31.5	31.5	31.4	32.8	33.0	32.3	30.8	31.5	31.4	32.0	31.6	30.5	31.3